P/G,Vantagem,Capitais,Especiais,Demais
Asp,7/ADT-ANTERIOR A 1ºSET07,618.0,618.0,618.0
Asp,6/ADT-ANTERIOR A 1ºSET07,581.64,581.64,581.64
Asp,7/ADT-POSTERIOR A 1ºSET07,594.86,594.86,594.86
Asp,6/ADT-POSTERIOR A 1ºSET07,561.82,561.82,561.82
Asp,6,528.77,528.77,528.77
Asp,5,495.72,495.72,495.72
Asp,4,470.0,470.0,470.0
Asp,3,470.0,470.0,470.0
Asp,2,470.0,470.0,470.0
Asp,1,470.0,470.0,470.0
Cad 3º Ano,7/ADT-ANTERIOR A 1ºSET07,618.0,618.0,618.0
Cad 3º Ano,6/ADT-ANTERIOR A 1ºSET07,581.64,581.64,581.64
Cad 3º Ano,7/ADT-POSTERIOR A 1ºSET07,594.86,594.86,594.86
Cad 3º Ano,6/ADT-POSTERIOR A 1ºSET07,561.82,561.82,561.82
Cad 3º Ano,6,528.77,528.77,528.77
Cad 3º Ano,5,495.72,495.72,495.72
Cad 3º Ano,4,470.0,470.0,470.0
Cad 3º Ano,3,470.0,470.0,470.0
Cad 3º Ano,2,470.0,470.0,470.0
Cad 3º Ano,1,470.0,470.0,470.0
Cad 2º Ano,7/ADT-ANTERIOR A 1ºSET07,618.0,618.0,618.0
Cad 2º Ano,6/ADT-ANTERIOR A 1ºSET07,581.64,581.64,581.64
Cad 2º Ano,7/ADT-POSTERIOR A 1ºSET07,594.86,594.86,594.86
Cad 2º Ano,6/ADT-POSTERIOR A 1ºSET07,561.82,561.82,561.82
Cad 2º Ano,6,528.77,528.77,528.77
Cad 2º Ano,5,495.72,495.72,495.72
Cad 2º Ano,4,470.0,470.0,470.0
Cad 2º Ano,3,470.0,470.0,470.0
Cad 2º Ano,2,470.0,470.0,470.0
Cad 2º Ano,1,470.0,470.0,470.0
Sub Ten,7/ADT-ANTERIOR A 1ºSET07,618.0,618.0,618.0
Sub Ten,6/ADT-ANTERIOR A 1ºSET07,581.64,581.64,581.64
Sub Ten,7/ADT-POSTERIOR A 1ºSET07,594.86,594.86,594.86
Sub Ten,6/ADT-POSTERIOR A 1ºSET07,561.82,561.82,561.82
Sub Ten,6,528.77,528.77,528.77
Sub Ten,5,495.72,495.72,495.72
Sub Ten,4,470.0,470.0,470.0
Sub Ten,3,470.0,470.0,470.0
Sub Ten,2,470.0,470.0,470.0
Sub Ten,1,470.0,470.0,470.0
Sd,7/ADT-ANTERIOR A 1ºSET07,618.0,618.0,618.0
Sd,6/ADT-ANTERIOR A 1ºSET07,581.64,581.64,581.64
Sd,7/ADT-POSTERIOR A 1ºSET07,594.86,594.86,594.86
Sd,6/ADT-POSTERIOR A 1ºSET07,561.82,561.82,561.82
Sd,6,528.77,528.77,528.77
Sd,5,495.72,495.72,495.72
Sd,4,470.0,470.0,470.0
Sd,3,470.0,470.0,470.0
Sd,2,470.0,470.0,470.0
Sd,1,470.0,470.0,470.0
